"year","checkouts"
1916,1
1917,2
1917,0
1918,0
1920,0
1920,0
1921,1
1921,1
1921,1
1921,0
1921,0
1922,1
1922,0
1922,0
1923,1
1923,1
1923,1
1923,0
1923,0
1924,13
1924,11
1924,1
1924,0
1924,0
1924,0
1925,2
1925,1
1925,1
1925,1
1925,0
1925,0
1925,0
1925,0
1925,0
1925,0
1925,0
1925,0
1925,0
1926,4
1926,1
1926,0
1926,0
1926,0
1926,0
1926,0
1926,0
1926,0
1926,0
1926,0
1926,0
1926,0
1927,1
1927,1
1927,1
1927,0
1927,0
1927,0
1927,0
1927,0
1927,0
1927,0
1927,0
1927,0
1927,0
1928,2
1928,2
1928,1
1928,0
1928,0
1928,0
1928,0
1928,0
1928,0
1928,0
1928,0
1928,0
1928,0
1928,0
1928,0
1928,0
1928,0
1928,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1929,0
1930,7
1930,2
1930,2
1930,2
1930,1
1930,1
1930,1
1930,0
1930,0
1930,0
1930,0
1930,0
1930,0
1930,0
1930,0
1931,6
1931,2
1931,2
1931,2
1931,1
1931,1
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1931,0
1932,7
1932,3
1932,3
1932,2
1932,2
1932,2
1932,1
1932,1
1932,1
1932,1
1932,1
1932,0
1932,0
1932,0
1932,0
1932,0
1932,0
1932,0
1932,0
1932,0
1932,0
1932,0
1932,0
1932,0
1933,4
1933,1
1933,1
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1933,0
1934,2
1934,1
1934,1
1934,1
1934,1
1934,1
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1934,0
1935,2
1935,1
1935,1
1935,1
1935,1
1935,1
1935,1
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1935,0
1936,6
1936,2
1936,2
1936,2
1936,1
1936,1
1936,1
1936,1
1936,1
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1936,0
1937,10
1937,4
1937,2
1937,2
1937,2
1937,1
1937,1
1937,1
1937,1
1937,1
1937,1
1937,1
1937,1
1937,1
1937,1
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1937,0
1938,5
1938,1
1938,1
1938,1
1938,1
1938,1
1938,1
1938,1
1938,1
1938,1
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1938,0
1939,1
1939,1
1939,1
1939,1
1939,1
1939,1
1939,1
1939,1
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1939,0
1940,2
1940,1
1940,1
1940,1
1940,1
1940,1
1940,1
1940,1
1940,1
1940,1
1940,1
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1940,0
1941,3
1941,2
1941,2
1941,1
1941,1
1941,1
1941,1
1941,1
1941,1
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
1941,0
