Barcode,Date of thesis,Total checkouts since 1994,,,,,,,,,,,,,,,,,,,
14221717,1916,1,,,,,,,,,,,,,,,,,,,
15749724,1917,2,,,,,,,,,,,,,,,,,,,
12652574,1917,0,,,,,,,,,,,,,,,,,,,
16229858,1918,0,,,,,,,,,,,,,,,,,,,
12658878,1920,0,,,,,,,,,,,,,,,,,,,
12660411,1920,0,,,,,,,,,,,,,,,,,,,
12661930,1921,1,,,,,,,,,,,,,,,,,,,
15406655,1921,1,,,,,,,,,,,,,,,,,,,
15472236,1921,1,,,,,,,,,,,,,,,,,,,
12639845,1921,0,,,,,,,,,,,,,,,,,,,
12677357,1921,0,,,,,,,,,,,,,,,,,,,
15678121,1922,1,,,,,,,,,,,,,,,,,,,
12151593,1922,0,,,,,,,,,,,,,,,,,,,
12151817,1922,0,,,,,,,,,,,,,,,,,,,
12607362,1923,1,,,,,,,,,,,,,,,,,,,
14478663,1923,1,,,,,,,,,,,,,,,,,,,
15689664,1923,1,,,,,,,,,,,,,,,,,,,
12637633,1923,0,,,,,,,,,,,,,,,,,,,
12677258,1923,0,,,,,,,,,,,,,,,,,,,
15163637,1924,13,,,,,,,,,,,,,,,,,,,
12592630,1924,11,,,,,,,,,,,,,,,,,,,
11745593,1924,1,,,,,,,,,,,,,,,,,,,
12111456,1924,0,,,,,,,,,,,,,,,,,,,
12674008,1924,0,,,,,,,,,,,,,,,,,,,
17444902,1924,0,,,,,,,,,,,,,,,,,,,
12669776,1925,2,,,,,,,,,,,,,,,,,,,
12638623,1925,1,,,,,,,,,,,,,,,,,,,
12674206,1925,1,,,,,,,,,,,,,,,,,,,
12678017,1925,1,,,,,,,,,,,,,,,,,,,
11745577,1925,0,,,,,,,,,,,,,,,,,,,
12640413,1925,0,,,,,,,,,,,,,,,,,,,
12671160,1925,0,,,,,,,,,,,,,,,,,,,
12672085,1925,0,,,,,,,,,,,,,,,,,,,
12674164,1925,0,,,,,,,,,,,,,,,,,,,
12676292,1925,0,,,,,,,,,,,,,,,,,,,
12681490,1925,0,,,,,,,,,,,,,,,,,,,
15025968,1925,0,,,,,,,,,,,,,,,,,,,
15704463,1925,0,,,,,,,,,,,,,,,,,,,
14863526,1926,4,,,,,,,,,,,,,,,,,,,
15163751,1926,1,,,,,,,,,,,,,,,,,,,
12638979,1926,0,,,,,,,,,,,,,,,,,,,
12639878,1926,0,,,,,,,,,,,,,,,,,,,
12671517,1926,0,,,,,,,,,,,,,,,,,,,
12671715,1926,0,,,,,,,,,,,,,,,,,,,
12674305,1926,0,,,,,,,,,,,,,,,,,,,
12674313,1926,0,,,,,,,,,,,,,,,,,,,
12675401,1926,0,,,,,,,,,,,,,,,,,,,
15686207,1926,0,,,,,,,,,,,,,,,,,,,
15695224,1926,0,,,,,,,,,,,,,,,,,,,
15703051,1926,0,,,,,,,,,,,,,,,,,,,
15724305,1926,0,,,,,,,,,,,,,,,,,,,
12590352,1927,1,,,,,,,,,,,,,,,,,,,
12638805,1927,1,,,,,,,,,,,,,,,,,,,
12677787,1927,1,,,,,,,,,,,,,,,,,,,
12110763,1927,0,,,,,,,,,,,,,,,,,,,
12119731,1927,0,,,,,,,,,,,,,,,,,,,
12561064,1927,0,,,,,,,,,,,,,,,,,,,
12599890,1927,0,,,,,,,,,,,,,,,,,,,
12617726,1927,0,,,,,,,,,,,,,,,,,,,
12669818,1927,0,,,,,,,,,,,,,,,,,,,
12670725,1927,0,,,,,,,,,,,,,,,,,,,
12670808,1927,0,,,,,,,,,,,,,,,,,,,
12673950,1927,0,,,,,,,,,,,,,,,,,,,
12679353,1927,0,,,,,,,,,,,,,,,,,,,
12564753,1928,2,,,,,,,,,,,,,,,,,,,
12658332,1928,2,,,,,,,,,,,,,,,,,,,
12681896,1928,1,,,,,,,,,,,,,,,,,,,
11741055,1928,0,,,,,,,,,,,,,,,,,,,
12526034,1928,0,,,,,,,,,,,,,,,,,,,
12564852,1928,0,,,,,,,,,,,,,,,,,,,
12669974,1928,0,,,,,,,,,,,,,,,,,,,
12676821,1928,0,,,,,,,,,,,,,,,,,,,
12677092,1928,0,,,,,,,,,,,,,,,,,,,
12677720,1928,0,,,,,,,,,,,,,,,,,,,
12679106,1928,0,,,,,,,,,,,,,,,,,,,
12680781,1928,0,,,,,,,,,,,,,,,,,,,
15420714,1928,0,,,,,,,,,,,,,,,,,,,
15671480,1928,0,,,,,,,,,,,,,,,,,,,
15678592,1928,0,,,,,,,,,,,,,,,,,,,
15686157,1928,0,,,,,,,,,,,,,,,,,,,
15688872,1928,0,,,,,,,,,,,,,,,,,,,
16565897,1928,0,,,,,,,,,,,,,,,,,,,
12120226,1929,0,,,,,,,,,,,,,,,,,,,
12556528,1929,0,,,,,,,,,,,,,,,,,,,
12593208,1929,0,,,,,,,,,,,,,,,,,,,
12595310,1929,0,,,,,,,,,,,,,,,,,,,
