year,checkouts,division
1984,3,HSS
2004,2,LL
1939,1,PRPL
1992,1,PRPL
1941,0,HSS
1989,0,HSS
1993,0,MNS
2010,1,LL
1998,1,HSS
1967,7,PRPL
1980,0,HSS
2010,3,HSS
1998,4,HSS
2017,0,PRPL
1933,0,HSS
2004,1,ARTS
1936,0,MNS
1992,0,LL
1960,0,MNS
2009,1,LL
2011,0,HSS
1990,5,MNS
1994,1,HSS
2004,3,LL
1995,6,LL
2006,2,LL
2017,0,LL
1988,0,HSS
2008,1,LL
1969,12,HSS
1989,0,MNS
1984,0,MNS
2013,2,MNS
1963,1,MNS
1985,0,HSS
2017,0,MNS
2016,1,HSS
2013,1,MNS
2017,1,ARTS
2004,1,HSS
2011,0,LL
2017,0,LL
2016,0,HSS
2004,2,MNS
2005,1,ARTS
2005,1,PRPL
1982,0,MNS
1984,0,HSS
2008,2,HSS
1931,0,MNS
1996,0,MNS
1975,4,HSS
2010,0,PRPL
2014,0,PRPL
1999,5,LL
1980,0,HSS
2013,1,HSS
1999,2,PRPL
1982,0,HSS
1997,1,MNS
1999,5,PRPL
2001,2,LL
2015,2,MNS
1989,2,PRPL
1974,0,PRPL
1986,0,LL
1996,4,LL
1983,1,HSS
2011,2,HSS
1948,0,MNS
1990,10,MNS
1968,21,ARTS
1964,10,ARTS
2017,0,LL
1970,0,LL
2006,3,PRPL
1992,8,PRPL
1952,0,MNS
1955,0,MNS
2005,0,HSS
1942,1,HSS
1978,1,ARTS
2002,3,ARTS
2004,2,PRPL
2001,0,MNS
1978,8,HSS
2005,1,MNS
2017,0,LL
1971,1,LL
2010,0,ARTS
1993,5,HSS
1989,2,PRPL
1993,4,ARTS
1993,2,MNS
2003,6,PRPL
1997,0,MNS
2000,0,PRPL
1990,2,HSS
1996,4,HSS
2001,2,PRPL
1980,0,MNS
1993,3,MNS
1978,5,MNS
2004,0,HSS
2011,1,LL
2002,1,MNS
2016,0,PRPL
1989,1,HSS
1995,4,PRPL
2002,3,HSS
1981,0,HSS
1978,4,ARTS
2002,0,LL
2009,2,LL
2008,1,LL
2003,1,LL
1979,0,ARTS
1971,0,LL
1991,0,PRPL
1954,0,ARTS
2007,4,ARTS
1995,2,ARTS
2014,2,ARTS
1958,8,HSS
1985,0,MNS
2013,0,HSS
1992,8,PRPL
1974,11,LL
1975,0,MNS
1986,2,HSS
1990,3,PRPL
1963,1,MNS
1943,0,HSS
1961,4,ARTS
1986,0,HSS
2016,0,ARTS
1969,9,LL
2014,0,MNS
2000,1,MNS
1983,4,HSS
1983,0,HSS
1955,0,ARTS
2014,0,ARTS
2010,5,ARTS
1982,0,LL
1979,0,PRPL
1984,1,LL
2002,0,PRPL
2011,0,ARTS
1999,1,LL
1982,0,PRPL
1991,0,PRPL
2007,2,ARTS
2017,0,HSS
1925,0,MNS
2008,0,HSS
2007,0,HSS
2000,5,LL
2010,5,MNS
2011,0,HSS
1975,2,HSS
2008,1,LL
1999,1,LL
2005,2,LL
1945,0,HSS
2008,3,LL
2017,1,MNS
2014,2,MNS
2010,0,MNS
1982,1,LL
1980,10,ARTS
1991,9,ARTS
1958,0,MNS
2011,0,PRPL
1987,6,ARTS
1973,1,ARTS
2013,0,PRPL
2002,1,PRPL
1985,5,PRPL
2014,0,PRPL
2013,0,PRPL
2012,1,ARTS
2010,1,ARTS
1987,0,MNS
2008,2,ARTS
2012,1,MNS
2002,1,MNS
2006,0,MNS
1963,0,MNS
1983,1,HSS
2015,2,HSS
1992,3,MNS
2000,4,HSS
1989,1,HSS
1935,0,MNS
1989,1,HSS
1979,0,LL
1994,1,PRPL
1992,0,HSS
1984,0,MNS
1977,0,LL
1932,0,MNS
2005,0,LL
1944,0,HSS
1973,0,PRPL
1978,1,LL
1968,7,HSS
1970,0,MNS
1995,4,MNS
1981,1,HSS
1939,0,MNS
2015,0,HSS
2001,1,ARTS
2007,2,HSS
1996,1,ARTS
1979,2,HSS
2000,1,MNS
1991,3,ARTS
1988,0,HSS
1961,0,HSS
2008,1,HSS
1970,0,LL
2002,3,ARTS
1989,0,PRPL
1988,1,HSS
1988,2,PRPL
2004,1,PRPL
1977,0,MNS
2007,1,ARTS
1983,1,HSS
2005,2,PRPL
1997,5,PRPL
1984,1,MNS
1968,9,ARTS
1987,0,LL
2003,3,MNS
1958,0,MNS
1936,0,MNS
1983,0,HSS
1958,0,MNS
1983,2,MNS
2009,0,LL
1935,1,HSS
2012,8,MNS
1999,10,ARTS
1997,2,PRPL
1997,2,MNS
1962,19,ARTS
1974,10,LL
2008,2,ARTS
1989,2,ARTS
1988,4,LL
1990,1,PRPL
2005,5,ARTS
2001,0,HSS
2002,1,PRPL
1998,1,LL
1988,0,LL
2011,4,HSS
2011,0,HSS
2014,1,PRPL
2013,0,MNS
2005,4,LL
1972,0,HSS
1940,0,MNS
2002,0,MNS
1969,1,HSS
1977,0,MNS
1942,2,HSS
1928,0,MNS
1943,0,HSS
2015,0,HSS
1985,0,LL
1979,0,LL
2003,0,HSS
1992,6,MNS
1979,1,MNS
2000,7,MNS
1961,1,ARTS
1961,0,ARTS
1988,3,HSS
1955,0,HSS
1975,0,MNS
1998,0,LL
2002,1,PRPL
2002,2,PRPL
2003,1,LL
1995,1,MNS
2001,0,MNS
2006,2,MNS
1953,0,MNS
1957,0,MNS
1950,0,HSS
1964,0,MNS
1998,0,MNS
1976,1,HSS
1948,0,HSS
2009,2,PRPL
1962,0,HSS
2010,1,ARTS
1937,1,HSS
2011,0,MNS
1984,0,HSS
1962,1,MNS
2008,1,HSS
1959,1,MNS
1976,1,MNS
2009,0,LL
1997,2,MNS
1999,2,MNS
2011,0,HSS
1938,0,PRPL
1971,1,LL
1974,0,ARTS
1989,1,LL
2008,0,LL
1985,0,LL
1995,1,MNS
1947,0,LL
2003,2,HSS
1963,1,ARTS
1940,0,HSS
1968,1,LL
1977,0,MNS
1977,0,MNS
2002,0,MNS
1998,1,HSS
1935,1,HSS
2008,0,LL
2012,3,MNS
1998,3,LL
2009,4,PRPL
1934,0,MNS
1992,0,MNS
1999,0,PRPL
2005,1,PRPL
1992,1,LL
1982,1,HSS
1993,2,PRPL
1982,2,MNS
2005,0,MNS
1989,1,PRPL
1974,8,MNS
2011,2,HSS
2012,3,PRPL
1988,0,PRPL
1980,6,ARTS
1956,7,MNS
1997,1,LL
1994,2,PRPL
2016,1,MNS
1991,1,LL
1975,0,MNS
1972,2,HSS
1999,4,LL
2010,0,HSS
1967,0,MNS
1997,1,LL
2000,2,MNS
1967,0,PRPL
1989,2,MNS
1986,0,MNS
2016,0,MNS
2008,0,LL
1970,0,PRPL
2008,4,PRPL
2005,2,MNS
1941,0,MNS
1943,0,HSS
1966,0,ARTS
2011,0,HSS
1961,2,ARTS
2017,0,HSS
1949,0,MNS
1980,1,LL
2010,2,ARTS
1983,2,MNS
2006,6,ARTS
1996,4,HSS
2014,0,HSS
1979,2,LL
2015,1,MNS
2004,1,MNS
1976,0,HSS
1996,1,HSS
2013,1,PRPL
1989,8,MNS
2007,1,ARTS
2007,0,LL
1992,0,PRPL
2010,0,LL
1956,2,MNS
1992,1,PRPL
1961,0,HSS
